facility_naics_id,facility_id,naics_code
140,100000052541,311615
141,100000052836,56292
142,100000052836,562112
143,100000054683,311615
144,100000055049,22131
145,100000055423,22132
146,100000055815,22132
147,100000057591,31152
148,100000058643,21113
149,100000059795,331314
150,100000059802,311999
151,100000059973,326299
152,100000059982,326299
153,100000062068,22132
154,100000062308,22131
155,100000063094,311615
156,100000063799,42469
157,100000064002,42469
158,100000064235,325199
159,100000064235,325211
160,100000064413,21113
161,100000064761,311615
162,100000064761,11239
163,100000065181,311615
164,100000065225,311615
165,100000065234,311615
166,100000065261,325211
167,100000066019,327215
168,100000067438,42469
169,100000067875,22132
170,100000067884,22132
171,100000069711,22132
172,100000071174,311999
173,100000071334,32532
174,100000071334,325199
175,100000071815,49312
176,100000071842,22131
177,100000072529,22131
178,100000072663,327992
179,100000072734,211112
180,100000073699,211112
181,100000074135,22131
182,100000074224,325311
183,100000074359,22131
184,100000076758,33141
185,100000077445,314992
186,100000078453,42269
187,100000078685,42469
188,100000078738,211112
189,100000079461,32211
190,100000080574,331315
191,100000080574,331314
192,100000080574,33281
193,100000080654,331315
194,100000080654,331314
195,100000081092,325199
196,100000081877,311615
197,100000081902,331315
198,100000081902,33281
199,100000083642,42469
200,100000084008,22132
201,100000084222,211112
202,100000084339,21113
203,100000088184,325998
204,100000088184,325212
205,100000088184,325199
206,100000088255,325211
207,100000088255,325199
208,100000089012,325199
209,100000090091,32211
210,100000091633,311615
211,100000092491,22132
212,100000092543,22132
213,100000094051,311615
214,100000094159,311615
215,100000099779,325211
216,100000099877,325311
217,100000100393,32518
218,100000101882,22131
219,100000102346,22131
220,100000103693,311615
221,100000103899,22132
222,100000103906,32512
223,100000104059,22132
224,100000104157,325199
225,100000104433,311615
226,100000104674,22132
227,100000105101,22132
228,100000105307,22132
229,100000105824,22132
230,100000106431,42441
231,100000106805,325181
232,100000107136,22131
233,100000107396,22131
234,100000107421,22132
235,100000107467,22132
236,100000107519,22131
237,100000108171,32614
238,100000108386,22131
239,100000111149,49312
240,100000112898,49312
241,100000113584,32211
242,100000113584,32212
243,100000114949,21113
244,100000115001,22132
245,100000115074,22132
246,100000115127,325181
247,100000115582,32518
248,100000117198,221112
249,100000118259,221112
250,100000118366,22131
251,100000118419,22132
252,100000118972,326199
253,100000118972,326299
254,100000119481,33251
255,100000121405,326199
256,100000122315,311615
257,100000122896,211111
258,100000122896,211112
259,100000123895,22132
260,100000123895,92811
261,100000124304,32213
262,100000125893,325314
263,100000127007,22132
264,100000128471,22131
265,100000128505,22131
266,100000128541,32532
267,100000128694,22131
268,100000129844,22131
269,100000131234,21113
270,100000131635,311615
271,100000132279,22132
272,100000133036,311615
273,100000135169,32519
274,100000135819,32518
275,100000135819,32519
276,100000136747,42491
277,100000136863,31152
278,100000137087,331314
279,100000138246,311615
280,100000141312,22131
281,100000141688,22132
282,100000142534,311615
283,100000143276,22131
284,100000143374,331315
285,100000143686,22132
286,100000144015,32518
287,100000144257,32519
288,100000144934,22131
289,100000145425,22132
290,100000146291,22131
291,100000147968,22131
292,100000148388,32522
293,100000148404,32511
294,100000148404,32512
295,100000149127,32411
296,100000149314,325998
297,100000151621,32512
298,100000152023,22132
299,100000152586,325211
300,100000153638,211111
301,100000154637,22132
302,100000154664,32211
303,100000156163,22132
304,100000156966,22131
305,100000157572,22132
306,100000158009,22132
307,100000158189,42291
308,100000158303,311615
309,100000159589,49312
310,100000159623,49312
311,100000159641,49312
312,100000161086,311812
313,100000161157,454319
314,100000162717,42471
315,100000163271,42269
316,100000163743,49312
317,100000165581,42471
318,100000165634,42471
319,100000165689,42471
320,100000166287,42471
321,100000166287,482111
322,100000167865,42469
323,100000168463,325211
324,100000168515,49312
325,100000169122,22111
326,100000169239,22131
327,100000169872,22131
328,100000169934,311225
329,100000170067,211112
330,100000170076,211112
331,100000172528,22111
332,100000173581,325211
333,100000174688,22111
334,100000175767,22131
335,100000177104,22131
336,100000177168,221112
337,100000177453,325199
338,100000177756,221112
339,100000177998,32532
340,100000178265,22111
341,100000178602,22111
342,100000178942,221112
343,100000180207,32614
344,100000181867,22111
345,100000181876,221112
346,100000182303,221112
347,100000182358,221112
348,100000183776,22131
349,100000184025,49312
350,100000184294,49312
351,100000184454,31181
352,100000184588,221112
353,100000184971,42441
354,100000186069,312113
355,100000186425,49312
356,100000186915,311615
357,100000186951,311615
358,100000187219,49312
359,100000187488,311615
360,100000188361,42469
361,100000189039,211112
362,100000189716,311615
363,100000189734,325314
364,100000192392,211112
365,100000192864,49312
366,100000193364,311615
367,100000194201,32522
368,100000195479,42441
369,100000197609,311615
370,100000198243,44511
371,100000199402,32519
372,100000200016,33636
373,100000202675,312113
374,100000202826,221112
375,100000202979,22131
376,100000203763,42469
377,100000203843,22131
378,100000203852,22131
379,100000206412,42471
380,100000207055,42469
381,100000207607,311615
382,100000207714,49312
383,100000207983,42469
384,100000208777,22132
385,100000208946,22111
386,100000209776,42469
387,100000211638,22131
388,100000211656,21111
389,100000211852,211112
390,100000212584,21113
391,100000214537,33111
392,100000215901,311511
393,100000216232,312111
394,100000218007,311991
395,100000218356,211112
396,100000219444,32599
397,100000222074,311615
398,100000224241,49311
399,100000226365,11251
400,100000226837,22131
401,100000229638,325199
402,100000230608,325998
403,100000231439,54133
404,100000231572,311615
405,100000231796,311991
406,100000232367,49312
407,100000233268,42471
408,100000235248,325211
409,100000235373,32615
410,100000235756,42471
411,100000235774,42471
412,100000235783,49319
413,100000236997,32615
414,100000237291,21113
415,100000237996,22131
416,100000238744,49312
417,100000238851,32512
418,100000240562,49312
419,100000241142,311612
420,100000241311,22131
421,100000241437,42469
422,100000241687,331492
423,100000245825,31151
424,100000246165,42471
425,100000247422,49312
426,100000247583,311612
427,100000247761,339113
428,100000247798,49312
429,100000248591,325412
430,100000251283,22132
431,100000252399,42469
432,100000252629,311999
433,100000011943,311615
434,100000012023,311615
435,100000012194,22131
436,100000012247,311615
437,100000013923,115112
438,100000014003,42491
439,100000019464,311615
440,100000019883,115112
441,100000027641,325311
442,100000028472,22131
443,100000028668,339991
444,100000028917,22132
445,100000030316,311615
446,100000030496,311612
447,100000030806,22131
448,100000031182,92411
449,100000032779,311513
450,100000033171,325181
451,100000033171,42469
452,100000035776,311615
453,100000036052,22132
454,100000036873,42469
455,100000037051,22131
456,100000037783,32213
457,100000038684,331314
458,100000038997,311411
459,100000039781,311611
460,100000040001,49312
461,100000041368,22131
462,100000043482,212291
463,100000043482,32518
464,100000047558,32519
465,100000049057,311511
466,100000049182,42269
467,100000049468,32615
468,100000050936,311615
469,100000050963,311615
470,100000051418,311615
471,100000051524,11232
472,100000051597,49312
473,100000051695,311615
474,100000051917,311615
475,100000052079,49312
476,100000052202,311615
477,100000052284,311615
478,100000052444,311615
479,100000052499,311615
480,100000052845,311615
481,100000052952,311615
482,100000052998,311615
483,100000054308,31183
484,100000054415,311615
485,100000054424,322121
486,100000054585,311615
487,100000054772,311615
488,100000055664,311615
489,100000056299,311612
490,100000057305,332999
491,100000057341,32614
492,100000058947,311615
493,100000059018,32518
494,100000059296,32211
495,100000059508,32518
496,100000060006,311615
497,100000060088,325199
498,100000060088,325211
499,100000060104,32532
500,100000061283,311615
501,100000062326,562211
502,100000063138,311615
503,100000063441,339999
504,100000064119,311612
505,100000064501,211112
506,100000064529,22131
507,100000064798,22131
508,100000071496,22131
509,100000071637,22131
510,100000072681,211112
511,100000072903,22132
512,100000072967,22132
513,100000073136,311615
514,100000075367,325311
515,100000075492,22132
516,100000075544,22131
517,100000075731,22131
518,100000075795,22131
519,100000075875,22131
520,100000075946,22132
521,100000076044,22132
522,100000076124,22131
523,100000076179,22132
524,100000076954,332116
525,100000078364,22132
526,100000084099,42469
527,100000084678,311511
528,100000086033,22132
529,100000086195,22132
530,100000086337,22131
531,100000086532,22131
532,100000086621,22131
533,100000086863,22131
534,100000087345,22131
535,100000087586,22132
536,100000087906,22132
537,100000088745,325211
538,100000088745,325199
539,100000090144,22131
540,100000092384,32518
541,100000092384,325199
542,100000093392,311412
543,100000095602,311991
544,100000095782,311615
545,100000099608,22131
546,100000101034,49319
547,100000101123,311615
548,100000101347,32518
549,100000101409,325211
550,100000102328,325192
551,100000102612,49312
552,100000103611,211112
553,100000104317,49312
554,100000105511,22132
555,100000107895,32213
556,100000108135,325188
557,100000108901,562211
558,100000109278,211112
559,100000109839,22132
560,100000110532,332811
561,100000111425,32519
562,100000111425,325199
563,100000111425,32599
564,100000111425,32518
565,100000111899,326121
566,100000111915,311612
567,100000112282,32518
568,100000112282,325199
569,100000113352,22131
570,100000113888,22131
571,100000115207,325311
572,100000115207,32518
573,100000117189,32599
574,100000117189,32519
575,100000118963,311612
576,100000119212,311615
577,100000120442,22131
578,100000120479,22132
579,100000120665,22131
580,100000120987,311615
581,100000121209,48691
582,100000122627,49312
583,100000122672,311615
584,100000124046,22131
585,100000124386,22131
586,100000125134,49312
587,100000126259,42469
588,100000127178,325199
589,100000127944,562219
590,100000128168,33131
591,100000134204,32411
592,100000134632,211112
593,100000139192,22131
594,100000139888,32518
595,100000140803,42269
596,100000140803,32561
597,100000141143,33121
598,100000141571,22131
599,100000141839,49312
600,100000142455,22131
601,100000142605,49312
602,100000142687,22131
603,100000143294,22131
604,100000145345,22132
605,100000145817,22132
