EPA Facility ID,State,Report Received Date,Report Created Date
100000198243,AL,1/1/2022,11/28/2024
100000199402,AL,6/1/2022,11/28/2024
100000200016,AL,8/1/2022,11/28/2024
100000202675,AL,5/1/2023,11/29/2024
100000202826,AL,9/1/2018,11/28/2024
100000202979,AL,4/1/2014,11/28/2024
100000203763,AL,10/1/2014,11/28/2024
100000203843,AL,6/1/2018,11/28/2024
100000203852,AL,6/1/2018,11/28/2024
100000206412,AL,1/1/2024,11/28/2024
100000207055,AL,6/1/2015,11/28/2024
100000207607,AL,3/1/2021,11/28/2024
100000207714,AL,4/1/2024,11/28/2024
100000207983,AL,6/1/2024,11/28/2024
100000208777,AL,1/1/2024,11/29/2024
100000208946,AL,11/1/2024,11/28/2024
100000209776,AL,8/1/2016,11/28/2024
100000211638,AL,6/1/2011,11/28/2024
100000211656,AL,9/1/2021,11/28/2024
100000211852,AL,11/1/2015,11/28/2024
100000212584,AL,10/1/2020,11/28/2024
100000214537,AL,12/1/2021,11/28/2024
100000215901,AL,8/1/2021,11/28/2024
100000216232,AL,8/1/2018,11/28/2024
100000218007,AL,11/1/2018,11/28/2024
100000218356,AL,3/1/2013,11/28/2024
100000219444,AL,8/1/2022,11/28/2024
100000222074,AL,6/1/2023,11/28/2024
100000224241,AL,7/1/2020,11/28/2024
100000226365,AL,7/1/2019,11/28/2024
100000226837,AL,9/1/2022,11/28/2024
100000229638,AL,7/1/2022,11/28/2024
100000230608,AL,9/1/2020,11/28/2024
100000231439,AL,2/1/2016,11/28/2024
100000231572,AL,1/1/2021,11/28/2024
100000231796,AL,6/1/2021,11/28/2024
100000232367,AL,4/1/2021,11/28/2024
100000233268,AL,12/1/2022,11/28/2024
100000235248,AL,6/1/2022,11/28/2024
100000235373,AL,4/1/2017,11/28/2024
100000235756,AL,9/1/2022,11/28/2024
100000235774,AL,9/1/2022,11/28/2024
100000235783,AL,12/1/2017,11/28/2024
100000236997,AL,12/1/2022,11/28/2024
100000237291,AL,12/1/2022,11/28/2024
100000237996,AL,6/1/2024,11/28/2024
100000238744,AL,6/1/2018,11/28/2024
100000238851,AL,5/1/2023,11/28/2024
100000240562,AL,7/1/2024,11/28/2024
100000241142,AL,1/1/2024,11/28/2024
100000241311,AL,4/1/2024,11/28/2024
100000241437,AL,1/1/2020,11/28/2024
100000241687,AL,7/1/2024,11/28/2024
100000245825,AL,12/1/2020,11/28/2024
100000246165,AL,4/1/2021,11/28/2024
100000247422,AL,10/1/2021,11/28/2024
100000247583,AL,9/1/2021,11/28/2024
100000247761,AL,3/1/2022,11/28/2024
100000247798,AL,1/1/2022,11/28/2024
100000248591,AL,6/1/2022,11/28/2024
100000251283,AL,7/1/2023,11/28/2024
100000252399,AL,12/1/2023,11/28/2024
100000252629,AL,12/1/2023,11/28/2024
100000011943,AR,2/1/2023,11/29/2024
100000012023,AR,2/1/2023,11/29/2024
100000012194,AR,10/1/2020,11/28/2024
100000012247,AR,3/1/2023,11/29/2024
100000013923,AR,5/1/1999,11/28/2024
100000014003,AR,6/1/2019,11/28/2024
100000019464,AR,2/1/2022,11/28/2024
100000019883,AR,6/1/1999,11/28/2024
100000027641,AR,6/1/2004,11/28/2024
100000028472,AR,4/1/2024,11/29/2024
100000028668,AR,3/1/2007,11/28/2024
100000028917,AR,6/1/2009,11/28/2024
100000030316,AR,4/1/2017,11/28/2024
100000030496,AR,2/1/2023,11/29/2024
100000030806,AR,2/1/2019,11/28/2024
100000031182,AR,6/1/2005,11/28/2024
100000032779,AR,6/1/2009,11/28/2024
100000033171,AR,2/1/2011,11/28/2024
100000035776,AR,4/1/2017,11/28/2024
100000036052,AR,12/1/2005,11/28/2024
100000036873,AR,6/1/2023,11/29/2024
100000037051,AR,2/1/2024,11/29/2024
100000037783,AR,6/1/2024,11/29/2024
100000038684,AR,5/1/2001,11/28/2024
100000038997,AR,8/1/2022,11/28/2024
100000039781,AR,2/1/2011,11/28/2024
100000040001,AR,6/1/1999,11/28/2024
100000041368,AR,7/1/2022,11/28/2024
100000043482,AR,4/1/2024,11/29/2024
100000047558,AR,10/1/2022,11/28/2024
100000049057,AR,4/1/2020,11/28/2024
100000049182,AR,3/1/2003,11/28/2024
100000049468,AR,2/1/2021,11/28/2024
100000050936,AR,2/1/2024,11/29/2024
100000050963,AR,6/1/2004,11/28/2024
100000051418,AR,2/1/2019,11/28/2024
100000051524,AR,6/1/2023,11/29/2024
